Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Fan_edited_Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Fan_edited_ethnicity,Website,Notes,Year,,
Badrun Khan,NY,Federal,U.S. House,U.S. House,U.S. Representative,NY-14,Legis,Lower,D,D,Challenger,Yes,Alexandria Ocasio-Cortez,D,6/23/2020,Lost,11/3/2020,Lost,,F,Bangladeshi,Bangladeshi,https://badrunforcongress.com/,,2020,,
Kaisar Ahmed,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-31,Legis,Lower,D,D,Challenger,Yes,Pete Aguilar,D,3/3/2020,Lost,11/3/2020,Not in General,,M,Bangladeshi,Bangladeshi,https://www.kaisarahmed.com/,,2020,,
Rashid Malik,GA,Federal,U.S. House,U.S. House,U.S. Representative,GA-07,Legis,Lower,D,D,Open Seat,No,Rob Woodall,R,5/19/2020,Lost,11/3/2020,Not in General,,M,Bangladeshi,Bangladeshi,https://malik4congress.com/index.html,,2020,,
Nabilah Islam,GA,Federal,U.S. House,U.S. House,U.S. Representative,GA-07,Legis,Lower,D,D,Open Seat,No,Rob Woodall,R,5/19/2020,Lost,11/3/2020,Not in General,,F,Bangladeshi,Bangladeshi,https://www.nabilahforcongress.com/,,2020,,
Derrick Reed,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-22,Legis,Lower,D,D,Open Seat,No,Pete Olson,R,3/3/2020,Lost,11/3/2020,Not in General,,M,,Black,https://derrickreed.com/,,2020,?,
Peter Yuan Liu,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-15,Legis,Lower,R,R,Challenger,Yes,Eric Swalwell,N,3/3/2020,Lost,11/3/2020,Not in General,,M,,Chinese,,,2020,,
Tom Wong,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-53,Legis,Lower,D,D,Open Seat,No,Susan Davis,D,3/3/2020,Lost,11/3/2020,Not in General,,M,,Chinese,https://www.tomwongphd.com/,,2020,,
Yukong Zhao,FL,Federal,U.S. House,U.S. House,U.S. Representative,FL-07,Legis,Lower,R,R,Challenger,Yes,Stephanie Murphy,D,8/18/2020,Lost,11/3/2020,Not in General,,M,Chinese,Chinese,https://yukongzhaoforcongress.com/,,2020,,
Lih Young,MD,Federal,U.S. House,U.S. House,U.S. Representative,MD-08,Legis,Lower,D,D,Challenger,Yes,Jamie Raskin,D,4/28/2020,Lost,11/3/2020,Not in General,,F,Chinese,Chinese,,,2020,,
Austin Intal,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-15,Legis,Lower,D,D,Challenger,Yes,Eric Swalwell,D,3/3/2020,Lost,11/3/2020,Not in General,,M,Filipino,Filipino,https://austinintal2020.nationbuilder.com/,,2020,,
Nikki Foster,OH,Federal,U.S. House,U.S. House,U.S. Representative,OH-01,Legis,Lower,D,D,Challenger,Yes,Steve Chabot,R,4/28/2020,Lost,11/3/2020,Not in General,,F,Filipino,Filipino,https://nikkifosteroh.com/,,2020,,
Bobby Bliatout,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-22,Legis,Lower,D,D,Challenger,Yes, Devin Nunes ,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Hmong,Hmong,https://bobbybliatout.com/,,2020,,
Abhiram Garapati,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-31,Legis,Lower,R,R,Challenger,Yes,John Carter,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,https://www.abhiram.us/,,2020,,
Atul Goel,NC,Federal,U.S. Senate,U.S. Senate,U.S. Senator,NC,Legis,Upper,D,D,Challenger,Yes,Thom Tillis,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,http://www.atulgoelforsenate.com/,,2020,,
Bimal Patel,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-18,Legis,Lower,D,D,Challenger,Yes,Sheila Jackson Lee,D,3/3/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,https://www.bimalforcongress.com/,,2020,,
Hirsh Singh,NJ,Federal,U.S. Senate,U.S. Senate,U.S. Senator,NJ,Legis,Upper,R,R,Challenger,Yes,Cory Booker,D,6/2/2020,Lost,11/3/2020,Not in General,,M,,Indian,https://www.hirshsingh.com/,,2020,,
Jay Jalisi,MA,Federal,U.S. House,U.S. House,U.S. Representative,MA-07,Legis,Lower,D,D,Open Seat,No,Elijah Cummings,D,4/28/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,https://www.drjayforcongress.com/,,2020,,
Krishna Bansal,IL,Federal,U.S. House,U.S. House,U.S. Representative,IL-11,Legis,Lower,R,R,Challenger,Yes,Bill Foster,D,3/17/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,https://www.krishnaforcongress.com/,,2020,,
